actor-framework/actor-framework | 18fb32e15b64f376a341148ec28525aa3cacc4cb | 23cd41fb61d901b284ac5307a1809283885070d8 | []
actor-framework/actor-framework | 330aa31df55d4f0278bf203de075d4323b1e9001 | 4a2dcf5be9b438548ef7eec2caad4bd7bf8cd2d4 | []
ccache/ccache | 0437820b47abe55e49f5fdb2ed189c4a1f23a611 | 5d47a49ca00071f6660aa042012e4d35a0a0c651 | []
ccache/ccache | 147ea804a27afe96899a2f9fe010b91faa3eacc5 | de63795267aba8ba91478cc761d12aa36d530619 | []
ccache/ccache | 1eb0aa5b9bcf74bd2ca6f161e406da64ccd349af | f03feea871099ee5d6276435b5cc56242d9b634a | []
ccache/ccache | 5d94ee28ae08742cb1235cc9b43c297da516ad4d | 3791d3b96a17583194d0ca265a6fa8dfc63fdd10 | []
ccache/ccache | 60aa49e9bf4b77139f322c1bc430c55949e7426b | dd8d76df9c915e1b0790c6fc474015c3b27133f8 | []
chris2511/xca | a25b6c740251881c05768efdbb80e75b9d706f54 | 6b9c16a36aaa7bf1d72d35bf58a09324cd2d4c59 | []
DescentDevelopers/Descent3 | 2db85ca6ecd46ff31035f59cd409477e81d4e0e7 | 672a82ec6f8db2c054e964ba96d7690e9640c36a | []
DescentDevelopers/Descent3 | c738327e79004a7b514f7348a05cf0cf44b3436f | d91f4357f62b875a768cb6c99976bd1bb603c821 | []
fmtlib/fmt | 80549a630ea387aaa0645e9188957d5372752856 | f17b9aa44ce299c6a8544809ef7f9506c82eea4c | []
fmtlib/fmt | bdc45eef76c861642d0c326ce1c80169c5747ca5 | 439b6d7212d588bc4be890c17f50d4cbf19233a6 | []
gabime/spdlog | b4dcd592d85438f328c5b41f1a591a2cfb7cd182 | 21524c16fadaab4c5c8b852325685651e3048c57 | []
google/highway | 1d91d698ba14d6a6fb63eecc7e2ba446213c00bc | 730bd63cbcbf60ab5020e2c76b60a8a606c9f3bd | []
google/highway | 47049e0f215038e3812dc2191fb9c0caa5167791 | ac92cdaf2f9b0cb3932c5ad091359f8e23f93e39 | []
google/highway | 7f0cd9161665f8a644b5f4ead8bb0409749569d8 | d30477e33360f2a7c1402356b06d306be465efe5 | []
google/highway | d0e4aba5a280ed4fa500b0ae7dd6210f46523df1 | 8c63e95a01c6b3de94f6177a4e5ee58538dda2c7 | ['d0e4aba5a280ed4fa500b0ae7dd6210f46523df1']
google/highway | f5889927db525426053b3d1596d427a51a1ed52f | 78696bc1b574b38604249351608f9bb3f0de3411 | []
google/sentencepiece | 1cd0c5965d4163bb65cc626083c5f7b727c36b8c | a3f42beb50fa3391e0586b48ed0b7ed1d00172bb | []
google/sentencepiece | 336900241c4943ae1e5f844b18292f532b3a21c7 | d1488c59a50e5d126ac0286e1879c5a7ca3979b6 | []
google/snappy | 4793b4d004654aea41fc9824b3ce006489dbb796 | 6af9287fbdb913f0794d0148c6aa43b58e63c8e3 | []
google/snappy | 6c6e890ef961260b60f9f9a2051ac4618dbd06bd | 8b07ff196aa007e9b073aa4f062dbb23443594ec | []
google/snappy | 758804a4bc359fccb75318568023f62999e38caa | 6af9287fbdb913f0794d0148c6aa43b58e63c8e3 | []
google/snappy | aeb5de55a9c646ca334e4f6252af28536ca22349 | 7062d7f1d8a5ca7ade075579f36681ff48616dc3 | []
google/snappy | d261d2766fa6c7932994ed3c5b14d7911629c971 | 6a2b78a379e4a6ca11eaacb3e26bea397a46d74b | []
guillaumeblanc/ozz-animation | 50ded8ca87dbfb1560a8051f0134bbe6f715cd92 | 40c5d36176512a8b66b6c05d1d26f96842e438fc | []
Haivision/srt | 29d56be9fceee2e6554222baf663613fc1c0d0ff | 1cd39b9d58bcae459c56a97c64141790ebe62547 | []
Haivision/srt | ced76c7b778c4a91d2bd9ad735ca9089dbcd3128 | a51ec397d728de8e2782e382115256b34944f5b0 | []
jeremy-rifkin/cpptrace | bc0164224e4294fa68e42165de4d80b00ef04f6f | d18d6ee77d63562e99de4b509cee58ad060142de | []
kimci86/bkcrack | 7b4ea52d45d07b775e27b20bef0fe8d79443c27a | cc50681821f22cf1bbbb6d6c15c7543818fefe50 | []
microsoft/snmalloc | a3660c40690252e6bab884108f82e1ca822bc458 | db3580a9d8fac394afa3efd6cc55027f269cd9dc | []
microsoft/snmalloc | bdb3183989d8544b15bf600a5018d7056d795da0 | bb82ac15e3000fdfcc474b906ff3d8b12ad9edae | []
microsoft/snmalloc | c73846e41808fa73552f12331a02b6b146a960fa | c27dd10c398a9295de85454af68330bbc7097f29 | []
oatpp/oatpp | 25a7d4c8bfb4676c420e03c6272ad9c4fe5c5b3b | ffcc180dc19e0bb0141b2fd7520cc2b9efa553de | []
OpenRCT2/OpenRCT2 | 8f1e4d15377b874bcf3dccf56c6d01a22081c749 | bb41d0022f4f6d2a1a8e5415faf4a2f0dfaedf32 | []
quick-lint/quick-lint-js | 4c76fcac97efe08564cea25ad6760739fbb5de0a | 2b58a46734c0c6b232b4f465c85b5df558519c6b | []
quick-lint/quick-lint-js | 525ce4bd9ebbac928201b36bef11de25666356c0 | 0fe3faeb2a24fc054406370517ab06dabad61e9a | []
quick-lint/quick-lint-js | ed47d626a3ca6038a894dee99ee9610da121053c | c102dfcf6be5e888dd1494cea20a7c6bd9042887 | []
skypjack/entt | 17fb30163678b4f87245f26ace9f336eed1ec09d | 7dac5af05daa70197ced4998374e5c58600d4768 | []
skypjack/entt | 5ee0a3961610abe9874244d785d689f62ba70a40 | 27b9a25d060fe035d54c9b1139631714ea6cc90b | []
skypjack/entt | ed84c6e9ff02bb739a2965a9d67023358a6eb2d7 | fe872f6a0d28fa513ed5c7a7a830977931c66acf | []
taocpp/PEGTL | 2644f514ff0b4cf21168851dd1a39b780e794b68 | 268f23e93d297587c941aef63a1e1be052c26af0 | []
taocpp/PEGTL | d4ced1711073f4aba7ea6c1ebdf45338233f3f4c | e0c157a3544ea0e1ce6f1b05f03f5e9678f0a5ae | ['d4ced1711073f4aba7ea6c1ebdf45338233f3f4c']
wisdompeak/LeetCode | 30ec811d68e7bb56e2c2462a6a04d8951d7300b1 | 452435af08d62fab48419da3b8a37fb2db056d7c | []
wisdompeak/LeetCode | 5603e405fff57407059aeff95657da98e00b384a | da12168078d6ed660f0e02a08e9acf7d05970306 | []
wisdompeak/LeetCode | fe1779dad26a694c4a3b5e22f9ed4bcf2593e5d3 | 96355ed9fc49d742c56ec29d4604b596b1d5ec7f | []
xtensor-stack/xsimd | 59c407d500534db7299c7b6e3ae9c92fe6cba561 | be9dcb5df413a893fb6646fa950eeb4aeac70ffc | []
xtensor-stack/xsimd | 7d1778c3b38d63db7cec7145d939f40bc5d859d1 | 202064d8a4e7f41684bfd91a5bed88cb54aa0ed9 | []
xtensor-stack/xsimd | abd9a8af6ab9a6c4ea35d41998edb7edefbb58bf | d729cb15f67e52c7b320ea7931c90ebb282413c3 | []
xtensor-stack/xsimd | bde4df7394ccc920aeafc6689aa2d28d8ab7e518 | 9f587fc20b82c9d95f2d7c15d532c908149666e9 | []
xtensor-stack/xsimd | ead07427834c82aac105d36b8671abbe915c441c | b6868c2c09d2bef657abcb5833b7770d209e120e | []
yhirose/cpp-peglib | b85606ce2e1ac327c0c814fdd20d67a20f4e3526 | 578eec705c3be307e08ef5738fef7e5b03f728ee | []
yhirose/cpp-peglib | f61052359c1a0e621b69a54ab5c8b938c2e757df | 9f06da7aa625df9a9a1fa98b6e9f00616ff98749 | []
