# no ctest: OpenTTD/OpenTTD | 6e3d023e693638d68bfb74b2103c26c6e90a6985 | 7469f00c5b8d0dc5cc2034eb9dc91c6e8721ac03 | issue
# no ctest: OpenTTD/OpenTTD | 8c3fa2a3bf079424529a49b58f0466e4285d5874 | dd41de89315156cf7c5e43872de0863d4c539a95 | issue
# no root: OpenTTD/OpenTTD | a9b3312d1a4962d07a2e7976e8352c7113201a9e | 281d93f60052703b82394ab63fcb063ba700e004 | issue
halide/Halide | d1ecc1fb65fcf9dafb573c7f781bb1ab6f41d264 | 6e57d6cb871720b9af3af24fe2cc6eba8f188fc4 | issue
halide/Halide | c005b9f0b5c6a6d7daaad9d94b3ebd911cd121b2 | 657bb03475dd9c189120fd75da0d9233780f44ba | issue
# no tests: asmjit/asmjit | f5df7a2b1bd942fc1169d0f563dacbe34e6a11ac | 4a61c23ab65a8feb58d1bcdb7cbe8c8bdc36b7d1 | issue
# no tests: asmjit/asmjit | 71fb24cb11801bd462fb5e83bf7a10ab49aa482c | 66781437728ae31001ccafe3baf88bf0342814f6 | issue
# build error: ceres-solver/ceres-solver | 19ab2c1793c145f22e7017b570a036f8b3024758 | a3a062d72cc8c0f5f1f09b36d8b7c1ea3bef4d73 | issue
# build error: ceres-solver/ceres-solver | e15ec89f3b5279168a7007dca35f6a58213e8d4a | 058a72782a2a4779477b89eb43e9a88fda34cfeb | issue
facebookincubator/velox | c060962d75b5968483c3ab30605184aca307cffa | 27e95e95e3914212a23a3afac634d5e1db2ca9d4 | issue
facebookincubator/velox | 5a72e3077a23db40ba6f10410d3928ba6d6f630c | 418201fb3ed57a0cdecc8f29cb25ef30b089e51e | issue
facebookincubator/velox | f8f08ffc8ec521f826d2dbf5bf2fb4111794ac84 | cd514d679d80b786c28b6ddc8282a27cf656d112 | issue
facebookincubator/velox | fd7678d9a7ef38ea69ccf08f3cedb66fdf4b0d49 | 1a0d26a44cf103d6c3fe12990c291155d0e7742e | issue
facebookincubator/velox | d5f8e8e7d7cc99a3829a53edc4de1707629187c8 | f51e34d4579adeab1fa5535cef3022e57b18dfc3 | issue
facebookincubator/velox | 762cd74fea43c95c1dff508da1b5894b4f41b44a | d5f1abc356121b528611370a1d1e79036360d92c | issue
